date,time,symbol,direction,result,entry_price,orh,orl,prev_close,day_high,day_low,exit_price,exit_reason,PnL_%,equity_curve,cumulative_pnl
2026-03-23,09:50:55,CANBK,SELL,WIN,131.37,132.55,131.67,136.44,131.99,130.7,130.8,Trailing Stop,0.43,125.56776360051862,25.567763600518617
2026-03-23,09:50:55,CUMMINSIND,SELL,WIN,4483.7,4525.6,4500.0,4615.3,4549.0,4459.7,4463.73,Trailing Stop,0.45,126.13281853672095,26.132818536720947
2026-03-23,09:50:55,ENRIN,SELL,WIN,2726.0,2754.6,2730.6,2791.2,2719.0,2711.0,2712.96,Trailing Stop,0.48,126.7382560656972,26.7382560656972
2026-03-23,09:50:55,FEDERALBNK,SELL,WIN,258.3,261.2,259.75,267.1,258.65,257.5,257.57,Target (Midpoint),0.28,127.09312318268114,27.09312318268114
2026-03-23,09:50:55,FORTIS,SELL,WIN,800.55,807.2,801.4,822.05,804.3,797.8,798.16,Trailing Stop,0.3,127.47440255222917,27.474402552229165
2026-03-23,09:50:55,GMRAIRPORT,SELL,WIN,87.83,88.97,88.07,90.56,87.36,87.15,87.24,Trailing Stop,0.67,128.3284810493291,28.3284810493291
2026-03-23,09:50:55,GODREJCP,SELL,WIN,992.0,999.4,993.4,1017.6,1010.5,988.0,988.54,Trailing Stop,0.35,128.77763073300176,28.777630733001757
2026-03-23,09:50:55,HAL,SELL,WIN,3673.5,3712.4,3680.4,3782.4,3665.9,3656.7,3657.5,Target (Midpoint),0.44,129.34425230822697,29.34425230822697
2026-03-23,09:50:55,HEROMOTOCO,SELL,WIN,5107.0,5142.5,5114.5,5275.5,5128.0,5090.0,5092.45,Trailing Stop,0.28,129.70641621469,29.706416214689995
2026-03-23,09:50:55,IDEA,SELL,WIN,9.02,9.16,9.04,9.34,9.02,8.96,8.96,Target (Midpoint),0.67,130.57544920332842,30.575449203328418
2026-03-23,09:50:55,IDFCFIRSTB,SELL,WIN,61.29,61.88,61.41,62.95,61.15,60.93,60.98,Trailing Stop,0.51,131.24138399426542,31.24138399426542
2026-03-23,09:50:55,IGL,SELL,LOSS,151.28,152.26,151.5,156.63,151.94,151.26,151.28,Trailing Stop,-0.0,131.24138399426542,31.24138399426542
2026-03-23,09:50:55,INDUSTOWER,SELL,WIN,418.65,424.7,421.05,434.55,421.15,417.35,417.72,Trailing Stop,0.22,131.5301150390528,31.530115039052788
2026-03-23,09:50:55,JIOFIN,SELL,WIN,231.5,233.65,232.15,239.3,232.0,230.4,230.57,Trailing Stop,0.4,132.056235499209,32.05623549920901
2026-03-23,09:50:55,JSWSTEEL,SELL,WIN,1126.5,1139.2,1129.2,1169.6,1125.7,1123.4,1123.98,Trailing Stop,0.22,132.34675921730727,32.346759217307266
2026-03-23,09:50:55,LTF,SELL,WIN,249.45,253.3,250.4,261.2,250.9,248.45,248.64,Trailing Stop,0.32,132.77026884680265,32.77026884680265
2026-03-23,09:50:55,MANKIND,SELL,WIN,1955.0,1973.6,1961.6,2000.0,1953.2,1945.0,1946.66,Trailing Stop,0.43,133.3411810028439,33.34118100284391
2026-03-23,09:50:55,MFSL,SELL,WIN,1585.2,1606.1,1590.1,1639.3,1594.8,1576.1,1577.2,Target (Midpoint),0.5,134.0078869078581,34.00788690785811
2026-03-23,09:50:55,PAYTM,SELL,WIN,1017.0,1032.0,1023.1,1054.3,1014.8,1012.1,1012.55,Target (Midpoint),0.44,134.59752161025267,34.59752161025267
2026-03-23,09:50:55,PHOENIXLTD,SELL,WIN,1502.9,1516.0,1506.7,1543.1,1502.7,1497.9,1498.25,Target (Midpoint),0.31,135.01477392724448,35.01477392724448
2026-03-23,09:50:55,PNB,SELL,WIN,107.41,108.45,107.6,111.53,107.49,106.92,106.99,Target (Midpoint),0.39,135.54133154556072,35.54133154556072
