symbol,open,high,low,close,ORH,ORL,last_close,signal,time
MOTHERSON,108.33000183105469,108.69000244140625,107.7300033569336,107.7699966430664,108.69000244140625,107.7300033569336,106.87999725341797,BREAKDOWN ↓ (close below ORL),15:25
MOTILALOFS,1003.5,1017.2999877929688,999.1500244140625,1015.6500244140625,1017.2999877929688,999.1500244140625,1021.9000244140625,BREAKOUT ↑ (close above ORH),15:25
MPHASIS,2886.0,2894.800048828125,2865.5,2872.60009765625,2894.800048828125,2865.5,2893.699951171875,Inside Range,15:25
MRF,160450.0,160560.0,159000.0,159400.0,160560.0,159000.0,158315.0,BREAKDOWN ↓ (close below ORL),15:25
MUTHOOTFIN,3185.0,3185.0,3161.199951171875,3172.89990234375,3185.0,3161.199951171875,3191.39990234375,BREAKOUT ↑ (close above ORH),15:25
NATIONALUM,237.63999938964844,237.89999389648438,235.10000610351562,236.2100067138672,237.89999389648438,235.10000610351562,238.8000030517578,BREAKOUT ↑ (close above ORH),15:25
NAUKRI,1384.9000244140625,1384.9000244140625,1375.0,1378.199951171875,1384.9000244140625,1375.0,1384.0999755859375,Inside Range,15:25
NESTLEIND,1278.0,1280.699951171875,1274.0,1275.199951171875,1280.699951171875,1274.0,1277.300048828125,Inside Range,15:25
NHPC,87.0999984741211,87.0999984741211,86.16000366210938,86.31999969482422,87.0999984741211,86.16000366210938,86.1500015258789,BREAKDOWN ↓ (close below ORL),15:25
NMDC,76.79000091552734,77.08999633789062,76.08000183105469,76.83000183105469,77.08999633789062,76.08000183105469,75.9800033569336,BREAKDOWN ↓ (close below ORL),15:25
NTPC,348.5,348.5,345.95001220703125,346.3999938964844,348.5,345.95001220703125,345.25,BREAKDOWN ↓ (close below ORL),15:25
NTPCGREEN,105.30000305175781,106.12999725341797,103.80000305175781,103.94999694824219,106.12999725341797,103.80000305175781,104.4000015258789,Inside Range,15:25
NYKAA,256.05999755859375,258.25,256.05999755859375,256.70001220703125,258.25,256.05999755859375,256.7699890136719,Inside Range,15:25
OBEROIRLTY,1730.199951171875,1735.0,1723.0,1732.199951171875,1735.0,1723.0,1750.300048828125,BREAKOUT ↑ (close above ORH),15:25
OFSS,8690.0,8690.0,8622.0,8630.5,8690.0,8622.0,8611.5,BREAKDOWN ↓ (close below ORL),15:25
OIL,420.95001220703125,429.54998779296875,420.6499938964844,429.54998779296875,429.54998779296875,420.6499938964844,434.0,BREAKOUT ↑ (close above ORH),15:25
ONGC,256.4200134277344,256.4200134277344,253.69000244140625,255.39999389648438,256.4200134277344,253.69000244140625,254.75,Inside Range,15:25
PAGEIND,41360.0,41485.0,41080.0,41135.0,41485.0,41080.0,41000.0,BREAKDOWN ↓ (close below ORL),15:25
PATANJALI,604.9000244140625,610.0,604.7999877929688,609.8499755859375,610.0,604.7999877929688,608.0,Inside Range,15:25
PAYTM,1305.0,1308.9000244140625,1301.0,1303.4000244140625,1308.9000244140625,1301.0,1310.0,BREAKOUT ↑ (close above ORH),15:25
PERSISTENT,5900.0,5920.0,5885.0,5893.0,5920.0,5885.0,5961.7001953125,BREAKOUT ↑ (close above ORH),15:25
PFC,411.0,411.0,402.95001220703125,406.45001220703125,411.0,402.95001220703125,404.79998779296875,Inside Range,15:25
PHOENIXLTD,1715.0,1716.300048828125,1702.5,1702.9000244140625,1716.300048828125,1702.5,1703.5,Inside Range,15:25
PIDILITIND,1509.9000244140625,1511.699951171875,1501.0,1506.300048828125,1511.699951171875,1501.0,1487.0,BREAKDOWN ↓ (close below ORL),15:25
PIIND,3604.89990234375,3627.0,3601.39990234375,3601.60009765625,3627.0,3601.39990234375,3595.800048828125,BREAKDOWN ↓ (close below ORL),15:25
PNB,121.33000183105469,121.69999694824219,120.87000274658203,121.06999969482422,121.69999694824219,120.87000274658203,120.20999908447266,BREAKDOWN ↓ (close below ORL),15:25
POLICYBZR,1781.0,1806.9000244140625,1766.199951171875,1800.9000244140625,1806.9000244140625,1766.199951171875,1842.0,BREAKOUT ↑ (close above ORH),15:25
POLYCAB,7729.5,7769.5,7700.0,7750.0,7769.5,7700.0,7857.5,BREAKOUT ↑ (close above ORH),15:25
POWERGRID,296.29998779296875,296.45001220703125,293.20001220703125,293.75,296.45001220703125,293.20001220703125,291.70001220703125,BREAKDOWN ↓ (close below ORL),15:25
POWERINDIA,17506.0,17582.0,17372.0,17534.0,17582.0,17372.0,17933.0,BREAKOUT ↑ (close above ORH),15:25
PREMIERENE,1092.300048828125,1100.4000244140625,1089.0,1099.9000244140625,1100.4000244140625,1089.0,1095.0,Inside Range,15:25
PRESTIGE,1761.5,1770.300048828125,1756.0,1757.0999755859375,1770.300048828125,1756.0,1751.699951171875,BREAKDOWN ↓ (close below ORL),15:25
RECLTD,385.6000061035156,385.8999938964844,380.3999938964844,382.29998779296875,385.8999938964844,380.3999938964844,378.29998779296875,BREAKDOWN ↓ (close below ORL),15:25
RELIANCE,1499.9000244140625,1500.699951171875,1494.300048828125,1495.5,1500.699951171875,1494.300048828125,1489.699951171875,BREAKDOWN ↓ (close below ORL),15:25
RVNL,332.8999938964844,337.20001220703125,331.79998779296875,334.75,337.20001220703125,331.79998779296875,331.0,BREAKDOWN ↓ (close below ORL),15:25
SAIL,138.67999267578125,139.69000244140625,137.22999572753906,138.85000610351562,139.69000244140625,137.22999572753906,137.0500030517578,BREAKDOWN ↓ (close below ORL),15:25
SBICARD,913.1500244140625,913.9000244140625,907.5,910.7000122070312,913.9000244140625,907.5,885.75,BREAKDOWN ↓ (close below ORL),15:25
SBILIFE,1970.4000244140625,1971.9000244140625,1962.5,1965.0,1971.9000244140625,1962.5,1969.800048828125,Inside Range,15:25
SBIN,938.0999755859375,942.2999877929688,936.5499877929688,938.1500244140625,942.2999877929688,936.5499877929688,933.9000244140625,BREAKDOWN ↓ (close below ORL),15:25
SHREECEM,29195.0,29195.0,28860.0,28860.0,29195.0,28860.0,28720.0,BREAKDOWN ↓ (close below ORL),15:25
SHRIRAMFIN,739.4500122070312,747.5999755859375,733.3499755859375,745.7999877929688,747.5999755859375,733.3499755859375,738.25,Inside Range,15:25
SIEMENS,3158.5,3158.5,3137.0,3144.10009765625,3158.5,3137.0,3126.800048828125,BREAKDOWN ↓ (close below ORL),15:25
